id;title;NF_inlink_ratio;NF_outlink_ratio;MW_generality
184854;abstract art;0.000251;0.000059;0.75
170584;poverty threshold;0.009056;0.000014;0.8125
8921769;measuring poverty;0.000001;0.000007;0.6875
29816;technology;0.00101;0.000077;0.6875
13802;hammer;0.000089;0.000017;0.625
205126;drill;0.000068;0.000019;0.5625
655;abacus;0.000039;0.000025;0.6875
3263;acid rain;0.000098;0.000024;0.6875
14099;history of africa;0.000027;0.000263;0.625
18963870;literature;0.000934;0.000068;0.75
17524;language;0.000773;0.000081;0.75
34513;0 number;0.000112;0.000055;0.625
15624;judaism;0.002948;0.000167;0.625
6037917;islam;0.00336;0.000139;0.625
14117;history of christianity;0.000097;0.000188;0.625
13543;hinduism;0.001129;0.000127;0.625
5211;christianity;0.00276;0.000194;0.625
3267529;buddhism;0.002554;0.000129;0.6875
909;anglican communion;0.000422;0.000044;0.5625
361897;astrophysics;0.000304;0.000048;0.625
26714;sculpture;0.001476;0.00014;0.5625
36886;rococo;0.000328;0.000036;0.6875
42532;printmaking;0.0003;0.000032;0.6875
103326;pre-raphaelite brotherhood;0.000168;0.000045;0.625
23604;photography;0.001058;0.000106;0.625
18622193;painting;0.002157;0.000095;0.5625
22605;oil painting;0.00025;0.000026;0.625
183280;neoclassicism;0.000435;0.000048;0.6875
98616;national gallery;0.00025;0.000054;0.625
61309;mosaic;0.000344;0.000126;0.625
70889;mona lisa;0.000087;0.000024;0.5625
1804871;louver;0.000489;0.000003;0.75
98141;kitsch;0.000085;0.000026;0.6875
15739;jewellery;0.000372;0.000095;0.6875
322915;italian renaissance;0.000195;0.000099;0.75
15169;impressionism;0.000444;0.000046;0.6875
8995535;four times of the day;0.000004;0.000032;0.5625
90317;fine art;0.000415;0.000049;0.75
102495;expressionism;0.000324;0.000076;0.625
8544;drawing;0.000293;0.000032;0.625
20913753;drama;0.001076;0.000067;0.75
37803;cubism;0.000255;0.000029;0.6875
2465278;constructivism art;0.000091;0.000042;0.75
53682;calligraphy;0.000271;0.000044;0.6875
5517266;buddhist art;0.000032;0.000078;0.625
462707;brush;0.000041;0.000016;0.6875
3957;baroque;0.001354;0.000041;0.5
57857;arts and crafts;0.000074;0.000025;0.625
59551;art nouveau;0.000414;0.000077;0.625
752;art;0.000966;0.000055;0.75
2130;aesthetics;0.000453;0.000101;0.6875
38431;wool;0.000425;0.000048;0.625
34061;winter;0.00014;0.000045;0.625
67028;umbrella;0.00009;0.000038;0.6875
149920;toy;0.00022;0.000052;0.75
73298;tobacco smoking;0.000161;0.000049;0.6875
215023;teapot;0.000022;0.00001;0.6875
29392;summer;0.000184;0.000012;0.625
316532;spring season;0.000146;0.000021;0.625
27834;sleep;0.000122;0.000056;0.75
1800287;shoe polish;0.000016;0.00003;0.625
27178;shoe;0.000137;0.000045;0.625
24873453;season;0.000154;0.000034;0.6875
26700;science;0.00161;0.000076;0.75
24619;pottery;0.000446;0.00004;0.6875
25126;postage stamp;0.000499;0.000036;0.6875
18993927;popular culture;0.000544;0.000016;0.75
24007;pearl;0.000172;0.000041;0.6875
206119;night;0.000051;0.00002;0.625
298232;necktie;0.000074;0.000037;0.625
17547;love;0.000297;0.000058;0.75
18985062;information;0.000282;0.000028;0.8125
38407;humour;0.000225;0.000023;0.6875
13590;house;0.000426;0.000038;0.75
172120;glove;0.000078;0.000033;0.625
10646;food;0.000456;0.00011;0.8125
11657;fashion;0.000378;0.000022;0.75
10401954;family;0.000422;0.000038;0.8125
10406;emotion;0.000284;0.000047;0.875
9325;easter;0.000737;0.000094;0.5625
7984;drink;0.000136;0.000017;0.8125
8376;day;0.000086;0.000029;0.625
19159508;culture;0.000949;0.000085;0.8125
38180;clothing;0.000403;0.00005;0.75
128987;child;0.000443;0.000008;0.75
3433;blindness;0.000343;0.000049;0.75
3049;autumn;0.000181;0.000013;0.6875
19230351;aquarium;0.000332;0.000062;0.6875
2861;advertising;0.000927;0.000109;0.75
19017269;world population;0.000089;0.000054;0.75
771916;world map;0.000017;0.000018;0.5625
200167;water cycle;0.000051;0.000029;0.6875
70760;union flag;0.000212;0.000075;0.625
66577;tropics;0.00083;0.000017;0.6875
66680;tropic of capricorn;0.000046;0.000021;0.5625
66676;tropic of cancer;0.000051;0.000011;0.5625
30890;time zone;0.000195;0.000054;0.75
67026;temperateness;0.000428;0.000009;0.5625
402679;subtropics;0.000395;0.000053;0.625
59570;strait of malacca;0.000111;0.000017;0.5625
20611428;southern ocean;0.000251;0.000028;0.625
74209;south china sea;0.000393;0.000032;0.5625
69310;sea of galilee;0.000118;0.000029;0.625
18842323;sea;0.000261;0.000042;0.625
27208;saint lucia;0.000362;0.000034;0.6875
24761;persian gulf;0.000776;0.00004;0.5625
23084;paleontology;0.000615;0.000076;0.75
23070;pacific ocean;0.003286;0.000096;0.625
21179;north sea;0.000966;0.000088;0.5625
42179;mount everest;0.000361;0.000072;0.6875
19323;middle east;0.002333;0.000079;0.5625
20771;mercator projection;0.000025;0.000019;0.6875
19006;mediterranean sea;0.002595;0.000104;0.625
51784;map projection;0.000058;0.000035;0.6875
9815;evariste galois;0.0;0.000022;0.625
9633;e mathematical constant;0.00006;0.000029;0.6875
32498;volume;0.000193;0.000017;0.75
61701;venn diagram;0.000027;0.000012;0.75
20491903;velocity;0.000203;0.000013;0.6875
32370;vector space;0.000276;0.000101;0.75
32640;vector calculus;0.000035;0.000021;0.5625
32344;variance;0.000138;0.000027;0.625
18717261;trigonometry;0.000111;0.000037;0.5625
30367;trigonometric functions;0.000093;0.000047;0.5625
30654;triangle;0.000205;0.000034;0.625
74800;torus;0.000124;0.000035;0.625
29954;topology;0.000314;0.000034;0.75
30977;theorem;0.000098;0.000024;0.6875
30072;thales;0.00007;0.00004;0.5625
30606;tetrahedron;0.000131;0.000033;0.5625
31112;tesseract;0.000037;0.000011;0.625
30448;taylor series;0.000113;0.000031;0.625
51714;taylor's theorem;0.000018;0.00003;0.6875
31482;tangent;0.000067;0.000015;0.625
113087;system of linear equations;0.000042;0.000022;0.6875
53741;symmetry;0.000193;0.00008;0.625
74141;subtraction;0.000045;0.000009;0.5625
27631;subset;0.000188;0.000003;0.75
536080;student's t-test;0.000028;0.000026;0.625
105375;student's t-distribution;0.000029;0.000026;0.625
19167679;virus;0.000528;0.000112;0.75
308981;vestigiality;0.000053;0.000027;0.75
36856;vertebrate;0.000441;0.000036;0.5625
262601;thorax;0.000185;0.000008;0.6875
31283;the mismeasure of man;0.000009;0.000025;0.6875
27783;stem cell;0.000282;0.000044;0.75
149289;sequence alignment;0.000033;0.000031;0.6875
37694;seed;0.00059;0.000074;0.75
23634;protein;0.003182;0.000099;0.75
23647;polymerase chain reaction;0.000179;0.000039;0.75
23977;plant cell;0.000019;0.000035;0.75
19828134;plant;0.002865;0.000112;0.75
3967032;photosynthetic reaction centre;0.000013;0.000025;0.6875
24544;photosynthesis;0.000321;0.000085;0.8125
19653842;organism;0.000326;0.000056;0.875
5224295;myco-heterotrophy;0.000015;0.000008;0.75
4066308;multiple sequence alignment;0.000016;0.000017;0.6875
19588;mitochondrion;0.000309;0.000077;0.6875
18393;life;0.000187;0.000077;0.875
44568;herbivore;0.000387;0.000018;0.6875
12266;genetics;0.000649;0.00007;0.75
12385;genetic code;0.000116;0.000041;0.6875
418101;evolutionary biology;0.000167;0.000031;0.75
281028;essential oil;0.000137;0.000025;0.6875
9630;ecology;0.000757;0.000118;0.8125
854294;dna repair;0.000076;0.000068;0.75
7955;dna;0.001289;0.000102;0.75
190770;chromatophore;0.00003;0.000037;0.6875
27809;chemical synapse;0.000089;0.000022;0.6875
50397;cerebellum;0.000153;0.000044;0.6875
4230;cell biology;0.000589;0.000055;0.75
6543;carnivore;0.000296;0.000023;0.75
3717;brain;0.000621;0.000062;0.6875
4502;biotechnology;0.000461;0.000063;0.75
23410163;biological classification;0.000181;0.000039;0.8125
19827221;arthropod;0.000423;0.000095;0.625
11039790;animal;0.000626;0.00006;0.6875
674;anatomy;0.000534;0.000017;0.75
66535;alternation of generations;0.000015;0.000018;0.8125
24530;ph;0.000502;0.000033;0.625
70657;van der waals force;0.000072;0.000015;0.5625
1645042;valence chemistry;0.000055;0.000017;0.625
37431;solvent;0.000275;0.000044;0.75
28729;solution;0.000257;0.000019;0.625
59497;solubility;0.000161;0.000044;0.625
242006;reaction rate;0.00004;0.000021;0.625
25211;quantum chemistry;0.00007;0.00002;0.5625
23053;periodic table;0.000136;0.000051;0.75
236445;nucleophilic substitution;0.000038;0.000014;0.375
21989;nitrogen fixation;0.000092;0.000027;0.75
59414;nitrogen cycle;0.000038;0.00003;0.75
19555;molecule;0.000487;0.000036;0.875
19836;molecular mass;0.000043;0.000019;0.8125
144241;molar mass;0.000033;0.000021;0.8125
19042;metal;0.000602;0.000058;0.6875
283810;mass spectrometry;0.000192;0.000062;0.6875
2152181;list of elements;0.00001;0.000007;0.75
1117290;ionic liquid;0.000018;0.000038;0.8125
18963787;ion;0.000461;0.000023;0.8125
7592567;introduction to entropy;0.000001;0.000011;0.625
3141503;iupac nomenclature;0.000041;0.000016;0.5625
235968;hydrogenation;0.000109;0.000039;0.75
12737;gunpowder;0.000366;0.00007;0.75
238181;gibbs free energy;0.000066;0.000027;0.75
166404;first law of thermodynamics;0.000035;0.000008;0.75
11145;fire;0.000352;0.000046;0.625
3043886;enzyme kinetics;0.000021;0.000033;0.625
10274;enthalpy;0.000078;0.000026;0.75
38257;electrolysis;0.000111;0.000037;0.6875
8301;distillation;0.00033;0.000042;0.75
6019;computational chemistry;0.000063;0.000035;0.625
6329;chromatography;0.000106;0.000018;0.75
5180;chemistry;0.001341;0.000111;0.75
6271;chemical reaction;0.001006;0.000077;0.625
7043;chemical formula;0.000385;0.000019;0.75
5306;chemical equilibrium;0.000076;0.000042;0.625
5659;chemical element;0.000261;0.000129;0.8125
5993;chemical bond;0.000133;0.000041;0.625
5914;catalysis;0.001217;0.000054;0.5625
41545;avogadro constant;0.000034;0.00002;0.5
238680;avogadro's law;0.00001;0.000007;0.6875
902;atom;0.000396;0.000106;0.8125
2408;analytical chemistry;0.000115;0.000039;0.6875
1839;allotropy;0.000036;0.000016;0.6875
498127;aldol reaction;0.000024;0.000042;0.4375
573;alchemy;0.00036;0.000095;0.6875
38413;activation energy;0.000038;0.000005;0.5625
3616613;work thermodynamics;0.000029;0.000014;0.6875
33501;white dwarf;0.000122;0.00007;0.8125
33426;waveparticle duality;0.0;0.000055;0.8125
33516;wave;0.000144;0.000042;0.75
32533;euclidean vector;0.000186;0.000055;0.75
31990;ultraviolet;0.000628;0.000091;0.5625
30012;time;0.000369;0.000094;0.75
225617;third law of thermodynamics;0.000013;0.000007;0.625
41789;thermodynamic temperature;0.000045;0.000059;0.625
30001;theory of relativity;0.000146;0.000022;0.625
20647050;temperature;0.00067;0.000056;0.75
113302;surface tension;0.00011;0.000031;0.75
27680;supernova;0.000259;0.000065;0.75
26751;sun;0.001259;0.000127;0.6875
28305;string theory;0.000175;0.000087;0.75
26808;star;0.000956;0.000107;0.625
214102;spherical aberration;0.000027;0.000006;0.625
28736;speed of light;0.000279;0.000057;0.75
26962;special relativity;0.000247;0.000069;0.75
28506;spacecraft propulsion;0.000071;0.000054;0.625
18994087;sound;0.000323;0.000037;0.6875
133017;second law of thermodynamics;0.000092;0.000034;0.75
59874;schrodinger equation;0.0;0.000032;0.75
192974;aedan mac gabrain;0.0;0.000019;0.6875
1816597;zara yaqob;0.000021;0.000013;0.5625
406910;yagan;0.000016;0.000036;0.625
35524;2004;0.002622;0.000345;0.5625
36163;2003;0.00208;0.000293;0.5625
35502;2002;0.001777;0.000232;0.5625
34551;2001;0.001741;0.000143;0.5625
34548;2000;0.001501;0.000202;0.5625
34553;1999;0.001274;0.000279;0.5625
34647;1998;0.001138;0.000213;0.5625
34601;1997;0.001127;0.000296;0.5625
34636;1996;0.001047;0.000378;0.5625
34658;1995;0.001025;0.000318;0.5625
18948337;1994;0.000939;0.000265;0.5625
34598;1993;0.000948;0.00033;0.5625
34669;1992;0.000941;0.000263;0.5625
34703;1991;0.000858;0.000325;0.5625
34635;1990;0.000918;0.000373;0.5625
34847;1989;0.000824;0.000402;0.5625
34670;1988;0.000738;0.000419;0.5625
34760;1987;0.000772;0.000308;0.5625
34761;1986;0.000724;0.00036;0.5625
34846;1985;0.000731;0.000362;0.5625
34578;1984;0.000692;0.000336;0.5625
34755;1983;0.000684;0.000361;0.5625
34756;1982;0.000688;0.000365;0.5625
34776;1981;0.000616;0.000385;0.5625
34640;1980;0.000701;0.000406;0.5625
34754;1979;0.000677;0.000427;0.5625
34753;1978;0.000648;0.000359;0.5625
34549;1977;0.000585;0.000373;0.5625
34661;1976;0.000629;0.000396;0.5625
34752;1975;0.000618;0.000369;0.5625
34654;1974;0.000605;0.000157;0.5625
34751;1973;0.00056;0.000412;0.5625
34671;1972;0.000556;0.000442;0.5625
34748;1971;0.000551;0.000424;0.5625
34726;1970;0.00052;0.000426;0.5625
34610;1969;0.000646;0.000386;0.5625
34655;1968;0.000675;0.000362;0.5625
34749;1967;0.000634;0.000445;0.5625
34691;1966;0.000585;0.000443;0.5625
34750;1965;0.00058;0.000413;0.5625
34550;1964;0.000592;0.000379;0.5625
34648;1963;0.000557;0.0004;0.5625
